"variable","field","suffix","fieldid","instance","index","category"
"seated_height_f51_1_0","seated_height","51_1_0","51","1","0","Anthropometry"
"seated_height_f51_2_0","seated_height","51_2_0","51","2","0","Anthropometry"
"seated_height_f51_3_0","seated_height","51_3_0","51","3","0","Anthropometry"
"month_of_birth_f52_0_0","month_of_birth","52_0_0","52","0","0","Demographic"
"townsend_deprivation_index_at_recruitment_f189_0_0","townsend_deprivation_index_at_recruitment","189_0_0","189","0","0","Demographic"
"number_of_daysweek_walked_10_minutes_f864_0_0","number_of_daysweek_walked_10_minutes","864_0_0","864","0","0","Physical Activity"
"number_of_daysweek_walked_10_minutes_f864_1_0","number_of_daysweek_walked_10_minutes","864_1_0","864","1","0","Physical Activity"
"number_of_daysweek_walked_10_minutes_f864_2_0","number_of_daysweek_walked_10_minutes","864_2_0","864","2","0","Physical Activity"
"number_of_daysweek_walked_10_minutes_f864_3_0","number_of_daysweek_walked_10_minutes","864_3_0","864","3","0","Physical Activity"
"duration_of_walks_f874_0_0","duration_of_walks","874_0_0","874","0","0","Physical Activity"
"duration_of_walks_f874_1_0","duration_of_walks","874_1_0","874","1","0","Physical Activity"
"duration_of_walks_f874_2_0","duration_of_walks","874_2_0","874","2","0","Physical Activity"
"duration_of_walks_f874_3_0","duration_of_walks","874_3_0","874","3","0","Physical Activity"
"number_of_daysweek_of_moderate_physical_activity_10_minutes_f884_0_0","number_of_daysweek_of_moderate_physical_activity_10_minutes","884_0_0","884","0","0","Physical Activity"
"number_of_daysweek_of_moderate_physical_activity_10_minutes_f884_1_0","number_of_daysweek_of_moderate_physical_activity_10_minutes","884_1_0","884","1","0","Physical Activity"
"number_of_daysweek_of_moderate_physical_activity_10_minutes_f884_2_0","number_of_daysweek_of_moderate_physical_activity_10_minutes","884_2_0","884","2","0","Physical Activity"
"number_of_daysweek_of_moderate_physical_activity_10_minutes_f884_3_0","number_of_daysweek_of_moderate_physical_activity_10_minutes","884_3_0","884","3","0","Physical Activity"
"duration_of_moderate_activity_f894_0_0","duration_of_moderate_activity","894_0_0","894","0","0","Physical Activity"
"duration_of_moderate_activity_f894_1_0","duration_of_moderate_activity","894_1_0","894","1","0","Physical Activity"
"duration_of_moderate_activity_f894_2_0","duration_of_moderate_activity","894_2_0","894","2","0","Physical Activity"
"duration_of_moderate_activity_f894_3_0","duration_of_moderate_activity","894_3_0","894","3","0","Physical Activity"
"number_of_daysweek_of_vigorous_physical_activity_10_minutes_f904_0_0","number_of_daysweek_of_vigorous_physical_activity_10_minutes","904_0_0","904","0","0","Physical Activity"
"number_of_daysweek_of_vigorous_physical_activity_10_minutes_f904_1_0","number_of_daysweek_of_vigorous_physical_activity_10_minutes","904_1_0","904","1","0","Physical Activity"
"number_of_daysweek_of_vigorous_physical_activity_10_minutes_f904_2_0","number_of_daysweek_of_vigorous_physical_activity_10_minutes","904_2_0","904","2","0","Physical Activity"
"number_of_daysweek_of_vigorous_physical_activity_10_minutes_f904_3_0","number_of_daysweek_of_vigorous_physical_activity_10_minutes","904_3_0","904","3","0","Physical Activity"
"duration_of_vigorous_activity_f914_0_0","duration_of_vigorous_activity","914_0_0","914","0","0","Physical Activity"
"duration_of_vigorous_activity_f914_1_0","duration_of_vigorous_activity","914_1_0","914","1","0","Physical Activity"
"duration_of_vigorous_activity_f914_2_0","duration_of_vigorous_activity","914_2_0","914","2","0","Physical Activity"
"duration_of_vigorous_activity_f914_3_0","duration_of_vigorous_activity","914_3_0","914","3","0","Physical Activity"
"usual_walking_pace_f924_0_0","usual_walking_pace","924_0_0","924","0","0","Physical Activity"
"usual_walking_pace_f924_1_0","usual_walking_pace","924_1_0","924","1","0","Physical Activity"
"usual_walking_pace_f924_2_0","usual_walking_pace","924_2_0","924","2","0","Physical Activity"
"usual_walking_pace_f924_3_0","usual_walking_pace","924_3_0","924","3","0","Physical Activity"
"frequency_of_stair_climbing_in_last_4_weeks_f943_0_0","frequency_of_stair_climbing_in_last_4_weeks","943_0_0","943","0","0","Physical Activity"
"frequency_of_stair_climbing_in_last_4_weeks_f943_1_0","frequency_of_stair_climbing_in_last_4_weeks","943_1_0","943","1","0","Physical Activity"
"frequency_of_stair_climbing_in_last_4_weeks_f943_2_0","frequency_of_stair_climbing_in_last_4_weeks","943_2_0","943","2","0","Physical Activity"
"frequency_of_stair_climbing_in_last_4_weeks_f943_3_0","frequency_of_stair_climbing_in_last_4_weeks","943_3_0","943","3","0","Physical Activity"
"frequency_of_walking_for_pleasure_in_last_4_weeks_f971_0_0","frequency_of_walking_for_pleasure_in_last_4_weeks","971_0_0","971","0","0","Physical Activity"
"frequency_of_walking_for_pleasure_in_last_4_weeks_f971_1_0","frequency_of_walking_for_pleasure_in_last_4_weeks","971_1_0","971","1","0","Physical Activity"
"frequency_of_walking_for_pleasure_in_last_4_weeks_f971_2_0","frequency_of_walking_for_pleasure_in_last_4_weeks","971_2_0","971","2","0","Physical Activity"
"frequency_of_walking_for_pleasure_in_last_4_weeks_f971_3_0","frequency_of_walking_for_pleasure_in_last_4_weeks","971_3_0","971","3","0","Physical Activity"
"duration_walking_for_pleasure_f981_0_0","duration_walking_for_pleasure","981_0_0","981","0","0","Physical Activity"
"duration_walking_for_pleasure_f981_1_0","duration_walking_for_pleasure","981_1_0","981","1","0","Physical Activity"
"duration_walking_for_pleasure_f981_2_0","duration_walking_for_pleasure","981_2_0","981","2","0","Physical Activity"
"duration_walking_for_pleasure_f981_3_0","duration_walking_for_pleasure","981_3_0","981","3","0","Physical Activity"
"frequency_of_strenuous_sports_in_last_4_weeks_f991_0_0","frequency_of_strenuous_sports_in_last_4_weeks","991_0_0","991","0","0","Physical Activity"
"frequency_of_strenuous_sports_in_last_4_weeks_f991_1_0","frequency_of_strenuous_sports_in_last_4_weeks","991_1_0","991","1","0","Physical Activity"
"frequency_of_strenuous_sports_in_last_4_weeks_f991_2_0","frequency_of_strenuous_sports_in_last_4_weeks","991_2_0","991","2","0","Physical Activity"
"frequency_of_strenuous_sports_in_last_4_weeks_f991_3_0","frequency_of_strenuous_sports_in_last_4_weeks","991_3_0","991","3","0","Physical Activity"
"duration_of_strenuous_sports_f1001_0_0","duration_of_strenuous_sports","1001_0_0","1001","0","0","Physical Activity"
"duration_of_strenuous_sports_f1001_1_0","duration_of_strenuous_sports","1001_1_0","1001","1","0","Physical Activity"
"duration_of_strenuous_sports_f1001_2_0","duration_of_strenuous_sports","1001_2_0","1001","2","0","Physical Activity"
"duration_of_strenuous_sports_f1001_3_0","duration_of_strenuous_sports","1001_3_0","1001","3","0","Physical Activity"
"frequency_of_light_diy_in_last_4_weeks_f1011_0_0","frequency_of_light_diy_in_last_4_weeks","1011_0_0","1011","0","0","Physical Activity"
"frequency_of_light_diy_in_last_4_weeks_f1011_1_0","frequency_of_light_diy_in_last_4_weeks","1011_1_0","1011","1","0","Physical Activity"
"frequency_of_light_diy_in_last_4_weeks_f1011_2_0","frequency_of_light_diy_in_last_4_weeks","1011_2_0","1011","2","0","Physical Activity"
"frequency_of_light_diy_in_last_4_weeks_f1011_3_0","frequency_of_light_diy_in_last_4_weeks","1011_3_0","1011","3","0","Physical Activity"
"duration_of_light_diy_f1021_0_0","duration_of_light_diy","1021_0_0","1021","0","0","Physical Activity"
"duration_of_light_diy_f1021_1_0","duration_of_light_diy","1021_1_0","1021","1","0","Physical Activity"
"duration_of_light_diy_f1021_2_0","duration_of_light_diy","1021_2_0","1021","2","0","Physical Activity"
"duration_of_light_diy_f1021_3_0","duration_of_light_diy","1021_3_0","1021","3","0","Physical Activity"
"frequency_of_friendfamily_visits_f1031_0_0","frequency_of_friendfamily_visits","1031_0_0","1031","0","0","Social Activity"
"frequency_of_friendfamily_visits_f1031_1_0","frequency_of_friendfamily_visits","1031_1_0","1031","1","0","Social Activity"
"frequency_of_friendfamily_visits_f1031_2_0","frequency_of_friendfamily_visits","1031_2_0","1031","2","0","Social Activity"
"frequency_of_friendfamily_visits_f1031_3_0","frequency_of_friendfamily_visits","1031_3_0","1031","3","0","Social Activity"
"time_spent_watching_television_tv_f1070_0_0","time_spent_watching_television_tv","1070_0_0","1070","0","0","Inactivity"
"time_spent_watching_television_tv_f1070_1_0","time_spent_watching_television_tv","1070_1_0","1070","1","0","Inactivity"
"time_spent_watching_television_tv_f1070_2_0","time_spent_watching_television_tv","1070_2_0","1070","2","0","Inactivity"
"time_spent_watching_television_tv_f1070_3_0","time_spent_watching_television_tv","1070_3_0","1070","3","0","Inactivity"
"time_spent_using_computer_f1080_0_0","time_spent_using_computer","1080_0_0","1080","0","0","Inactivity"
"time_spent_using_computer_f1080_1_0","time_spent_using_computer","1080_1_0","1080","1","0","Inactivity"
"time_spent_using_computer_f1080_2_0","time_spent_using_computer","1080_2_0","1080","2","0","Inactivity"
"time_spent_using_computer_f1080_3_0","time_spent_using_computer","1080_3_0","1080","3","0","Inactivity"
"time_spent_driving_f1090_0_0","time_spent_driving","1090_0_0","1090","0","0","Inactivity"
"time_spent_driving_f1090_1_0","time_spent_driving","1090_1_0","1090","1","0","Inactivity"
"time_spent_driving_f1090_2_0","time_spent_driving","1090_2_0","1090","2","0","Inactivity"
"time_spent_driving_f1090_3_0","time_spent_driving","1090_3_0","1090","3","0","Inactivity"
"sleep_duration_f1160_0_0","sleep_duration","1160_0_0","1160","0","0","Sleep"
"sleep_duration_f1160_1_0","sleep_duration","1160_1_0","1160","1","0","Sleep"
"sleep_duration_f1160_2_0","sleep_duration","1160_2_0","1160","2","0","Sleep"
"sleep_duration_f1160_3_0","sleep_duration","1160_3_0","1160","3","0","Sleep"
"getting_up_in_morning_f1170_0_0","getting_up_in_morning","1170_0_0","1170","0","0","Sleep"
"getting_up_in_morning_f1170_1_0","getting_up_in_morning","1170_1_0","1170","1","0","Sleep"
"getting_up_in_morning_f1170_2_0","getting_up_in_morning","1170_2_0","1170","2","0","Sleep"
"getting_up_in_morning_f1170_3_0","getting_up_in_morning","1170_3_0","1170","3","0","Sleep"
"morningevening_person_chronotype_f1180_0_0","morningevening_person_chronotype","1180_0_0","1180","0","0","Sleep"
"morningevening_person_chronotype_f1180_1_0","morningevening_person_chronotype","1180_1_0","1180","1","0","Sleep"
"morningevening_person_chronotype_f1180_2_0","morningevening_person_chronotype","1180_2_0","1180","2","0","Sleep"
"morningevening_person_chronotype_f1180_3_0","morningevening_person_chronotype","1180_3_0","1180","3","0","Sleep"
"nap_during_day_f1190_0_0","nap_during_day","1190_0_0","1190","0","0","Sleep"
"nap_during_day_f1190_1_0","nap_during_day","1190_1_0","1190","1","0","Sleep"
"nap_during_day_f1190_2_0","nap_during_day","1190_2_0","1190","2","0","Sleep"
"nap_during_day_f1190_3_0","nap_during_day","1190_3_0","1190","3","0","Sleep"
"sleeplessness_insomnia_f1200_0_0","sleeplessness_insomnia","1200_0_0","1200","0","0","Sleep"
"sleeplessness_insomnia_f1200_1_0","sleeplessness_insomnia","1200_1_0","1200","1","0","Sleep"
"sleeplessness_insomnia_f1200_2_0","sleeplessness_insomnia","1200_2_0","1200","2","0","Sleep"
"sleeplessness_insomnia_f1200_3_0","sleeplessness_insomnia","1200_3_0","1200","3","0","Sleep"
"snoring_f1210_0_0","snoring","1210_0_0","1210","0","0","Sleep"
"snoring_f1210_1_0","snoring","1210_1_0","1210","1","0","Sleep"
"snoring_f1210_2_0","snoring","1210_2_0","1210","2","0","Sleep"
"snoring_f1210_3_0","snoring","1210_3_0","1210","3","0","Sleep"
"daytime_dozing_sleeping_narcolepsy_f1220_0_0","daytime_dozing_sleeping_narcolepsy","1220_0_0","1220","0","0","Sleep"
"daytime_dozing_sleeping_narcolepsy_f1220_1_0","daytime_dozing_sleeping_narcolepsy","1220_1_0","1220","1","0","Sleep"
"daytime_dozing_sleeping_narcolepsy_f1220_2_0","daytime_dozing_sleeping_narcolepsy","1220_2_0","1220","2","0","Sleep"
"daytime_dozing_sleeping_narcolepsy_f1220_3_0","daytime_dozing_sleeping_narcolepsy","1220_3_0","1220","3","0","Sleep"
"current_tobacco_smoking_f1239_0_0","current_tobacco_smoking","1239_0_0","1239","0","0","Tobacco Use"
"current_tobacco_smoking_f1239_1_0","current_tobacco_smoking","1239_1_0","1239","1","0","Tobacco Use"
"current_tobacco_smoking_f1239_2_0","current_tobacco_smoking","1239_2_0","1239","2","0","Tobacco Use"
"current_tobacco_smoking_f1239_3_0","current_tobacco_smoking","1239_3_0","1239","3","0","Tobacco Use"
"past_tobacco_smoking_f1249_0_0","past_tobacco_smoking","1249_0_0","1249","0","0","Tobacco Use"
"past_tobacco_smoking_f1249_1_0","past_tobacco_smoking","1249_1_0","1249","1","0","Tobacco Use"
"past_tobacco_smoking_f1249_2_0","past_tobacco_smoking","1249_2_0","1249","2","0","Tobacco Use"
"past_tobacco_smoking_f1249_3_0","past_tobacco_smoking","1249_3_0","1249","3","0","Tobacco Use"
"smokingsmokers_in_household_f1259_0_0","smokingsmokers_in_household","1259_0_0","1259","0","0","Tobacco Use"
"smokingsmokers_in_household_f1259_1_0","smokingsmokers_in_household","1259_1_0","1259","1","0","Tobacco Use"
"smokingsmokers_in_household_f1259_2_0","smokingsmokers_in_household","1259_2_0","1259","2","0","Tobacco Use"
"smokingsmokers_in_household_f1259_3_0","smokingsmokers_in_household","1259_3_0","1259","3","0","Tobacco Use"
"exposure_to_tobacco_smoke_at_home_f1269_0_0","exposure_to_tobacco_smoke_at_home","1269_0_0","1269","0","0","Tobacco Use"
"exposure_to_tobacco_smoke_at_home_f1269_1_0","exposure_to_tobacco_smoke_at_home","1269_1_0","1269","1","0","Tobacco Use"
"exposure_to_tobacco_smoke_at_home_f1269_2_0","exposure_to_tobacco_smoke_at_home","1269_2_0","1269","2","0","Tobacco Use"
"exposure_to_tobacco_smoke_at_home_f1269_3_0","exposure_to_tobacco_smoke_at_home","1269_3_0","1269","3","0","Tobacco Use"
"exposure_to_tobacco_smoke_outside_home_f1279_0_0","exposure_to_tobacco_smoke_outside_home","1279_0_0","1279","0","0","Tobacco Use"
"exposure_to_tobacco_smoke_outside_home_f1279_1_0","exposure_to_tobacco_smoke_outside_home","1279_1_0","1279","1","0","Tobacco Use"
"exposure_to_tobacco_smoke_outside_home_f1279_2_0","exposure_to_tobacco_smoke_outside_home","1279_2_0","1279","2","0","Tobacco Use"
"exposure_to_tobacco_smoke_outside_home_f1279_3_0","exposure_to_tobacco_smoke_outside_home","1279_3_0","1279","3","0","Tobacco Use"
"cooked_vegetable_intake_f1289_0_0","cooked_vegetable_intake","1289_0_0","1289","0","0","Nutrition"
"cooked_vegetable_intake_f1289_1_0","cooked_vegetable_intake","1289_1_0","1289","1","0","Nutrition"
"cooked_vegetable_intake_f1289_2_0","cooked_vegetable_intake","1289_2_0","1289","2","0","Nutrition"
"cooked_vegetable_intake_f1289_3_0","cooked_vegetable_intake","1289_3_0","1289","3","0","Nutrition"
"salad_raw_vegetable_intake_f1299_0_0","salad_raw_vegetable_intake","1299_0_0","1299","0","0","Nutrition"
"salad_raw_vegetable_intake_f1299_1_0","salad_raw_vegetable_intake","1299_1_0","1299","1","0","Nutrition"
"salad_raw_vegetable_intake_f1299_2_0","salad_raw_vegetable_intake","1299_2_0","1299","2","0","Nutrition"
"salad_raw_vegetable_intake_f1299_3_0","salad_raw_vegetable_intake","1299_3_0","1299","3","0","Nutrition"
"fresh_fruit_intake_f1309_0_0","fresh_fruit_intake","1309_0_0","1309","0","0","Nutrition"
"fresh_fruit_intake_f1309_1_0","fresh_fruit_intake","1309_1_0","1309","1","0","Nutrition"
"fresh_fruit_intake_f1309_2_0","fresh_fruit_intake","1309_2_0","1309","2","0","Nutrition"
"fresh_fruit_intake_f1309_3_0","fresh_fruit_intake","1309_3_0","1309","3","0","Nutrition"
"dried_fruit_intake_f1319_0_0","dried_fruit_intake","1319_0_0","1319","0","0","Nutrition"
"dried_fruit_intake_f1319_1_0","dried_fruit_intake","1319_1_0","1319","1","0","Nutrition"
"dried_fruit_intake_f1319_2_0","dried_fruit_intake","1319_2_0","1319","2","0","Nutrition"
"dried_fruit_intake_f1319_3_0","dried_fruit_intake","1319_3_0","1319","3","0","Nutrition"
"oily_fish_intake_f1329_0_0","oily_fish_intake","1329_0_0","1329","0","0","Nutrition"
"oily_fish_intake_f1329_1_0","oily_fish_intake","1329_1_0","1329","1","0","Nutrition"
"oily_fish_intake_f1329_2_0","oily_fish_intake","1329_2_0","1329","2","0","Nutrition"
"oily_fish_intake_f1329_3_0","oily_fish_intake","1329_3_0","1329","3","0","Nutrition"
"nonoily_fish_intake_f1339_0_0","nonoily_fish_intake","1339_0_0","1339","0","0","Nutrition"
"nonoily_fish_intake_f1339_1_0","nonoily_fish_intake","1339_1_0","1339","1","0","Nutrition"
"nonoily_fish_intake_f1339_2_0","nonoily_fish_intake","1339_2_0","1339","2","0","Nutrition"
"nonoily_fish_intake_f1339_3_0","nonoily_fish_intake","1339_3_0","1339","3","0","Nutrition"
"processed_meat_intake_f1349_0_0","processed_meat_intake","1349_0_0","1349","0","0","Nutrition"
"processed_meat_intake_f1349_1_0","processed_meat_intake","1349_1_0","1349","1","0","Nutrition"
"processed_meat_intake_f1349_2_0","processed_meat_intake","1349_2_0","1349","2","0","Nutrition"
"processed_meat_intake_f1349_3_0","processed_meat_intake","1349_3_0","1349","3","0","Nutrition"
"poultry_intake_f1359_0_0","poultry_intake","1359_0_0","1359","0","0","Nutrition"
"poultry_intake_f1359_1_0","poultry_intake","1359_1_0","1359","1","0","Nutrition"
"poultry_intake_f1359_2_0","poultry_intake","1359_2_0","1359","2","0","Nutrition"
"poultry_intake_f1359_3_0","poultry_intake","1359_3_0","1359","3","0","Nutrition"
"beef_intake_f1369_0_0","beef_intake","1369_0_0","1369","0","0","Nutrition"
"beef_intake_f1369_1_0","beef_intake","1369_1_0","1369","1","0","Nutrition"
"beef_intake_f1369_2_0","beef_intake","1369_2_0","1369","2","0","Nutrition"
"beef_intake_f1369_3_0","beef_intake","1369_3_0","1369","3","0","Nutrition"
"lambmutton_intake_f1379_0_0","lambmutton_intake","1379_0_0","1379","0","0","Nutrition"
"lambmutton_intake_f1379_1_0","lambmutton_intake","1379_1_0","1379","1","0","Nutrition"
"lambmutton_intake_f1379_2_0","lambmutton_intake","1379_2_0","1379","2","0","Nutrition"
"lambmutton_intake_f1379_3_0","lambmutton_intake","1379_3_0","1379","3","0","Nutrition"
"pork_intake_f1389_0_0","pork_intake","1389_0_0","1389","0","0","Nutrition"
"pork_intake_f1389_1_0","pork_intake","1389_1_0","1389","1","0","Nutrition"
"pork_intake_f1389_2_0","pork_intake","1389_2_0","1389","2","0","Nutrition"
"pork_intake_f1389_3_0","pork_intake","1389_3_0","1389","3","0","Nutrition"
"cheese_intake_f1408_0_0","cheese_intake","1408_0_0","1408","0","0","Nutrition"
"cheese_intake_f1408_1_0","cheese_intake","1408_1_0","1408","1","0","Nutrition"
"cheese_intake_f1408_2_0","cheese_intake","1408_2_0","1408","2","0","Nutrition"
"cheese_intake_f1408_3_0","cheese_intake","1408_3_0","1408","3","0","Nutrition"
"milk_type_used_f1418_0_0","milk_type_used","1418_0_0","1418","0","0","Nutrition"
"milk_type_used_f1418_1_0","milk_type_used","1418_1_0","1418","1","0","Nutrition"
"milk_type_used_f1418_2_0","milk_type_used","1418_2_0","1418","2","0","Nutrition"
"milk_type_used_f1418_3_0","milk_type_used","1418_3_0","1418","3","0","Nutrition"
"spread_type_f1428_0_0","spread_type","1428_0_0","1428","0","0","Nutrition"
"spread_type_f1428_1_0","spread_type","1428_1_0","1428","1","0","Nutrition"
"spread_type_f1428_2_0","spread_type","1428_2_0","1428","2","0","Nutrition"
"spread_type_f1428_3_0","spread_type","1428_3_0","1428","3","0","Nutrition"
"bread_intake_f1438_0_0","bread_intake","1438_0_0","1438","0","0","Nutrition"
"bread_intake_f1438_1_0","bread_intake","1438_1_0","1438","1","0","Nutrition"
"bread_intake_f1438_2_0","bread_intake","1438_2_0","1438","2","0","Nutrition"
"bread_intake_f1438_3_0","bread_intake","1438_3_0","1438","3","0","Nutrition"
"bread_type_f1448_0_0","bread_type","1448_0_0","1448","0","0","Nutrition"
"bread_type_f1448_1_0","bread_type","1448_1_0","1448","1","0","Nutrition"
"bread_type_f1448_2_0","bread_type","1448_2_0","1448","2","0","Nutrition"
"bread_type_f1448_3_0","bread_type","1448_3_0","1448","3","0","Nutrition"
"cereal_intake_f1458_0_0","cereal_intake","1458_0_0","1458","0","0","Nutrition"
"cereal_intake_f1458_1_0","cereal_intake","1458_1_0","1458","1","0","Nutrition"
"cereal_intake_f1458_2_0","cereal_intake","1458_2_0","1458","2","0","Nutrition"
"cereal_intake_f1458_3_0","cereal_intake","1458_3_0","1458","3","0","Nutrition"
"cereal_type_f1468_0_0","cereal_type","1468_0_0","1468","0","0","Nutrition"
"cereal_type_f1468_1_0","cereal_type","1468_1_0","1468","1","0","Nutrition"
"cereal_type_f1468_2_0","cereal_type","1468_2_0","1468","2","0","Nutrition"
"cereal_type_f1468_3_0","cereal_type","1468_3_0","1468","3","0","Nutrition"
"salt_added_to_food_f1478_0_0","salt_added_to_food","1478_0_0","1478","0","0","Nutrition"
"salt_added_to_food_f1478_1_0","salt_added_to_food","1478_1_0","1478","1","0","Nutrition"
"salt_added_to_food_f1478_2_0","salt_added_to_food","1478_2_0","1478","2","0","Nutrition"
"salt_added_to_food_f1478_3_0","salt_added_to_food","1478_3_0","1478","3","0","Nutrition"
"tea_intake_f1488_0_0","tea_intake","1488_0_0","1488","0","0","Nutrition"
"tea_intake_f1488_1_0","tea_intake","1488_1_0","1488","1","0","Nutrition"
"tea_intake_f1488_2_0","tea_intake","1488_2_0","1488","2","0","Nutrition"
"tea_intake_f1488_3_0","tea_intake","1488_3_0","1488","3","0","Nutrition"
"coffee_type_f1508_0_0","coffee_type","1508_0_0","1508","0","0","Nutrition"
"coffee_type_f1508_1_0","coffee_type","1508_1_0","1508","1","0","Nutrition"
"coffee_type_f1508_2_0","coffee_type","1508_2_0","1508","2","0","Nutrition"
"coffee_type_f1508_3_0","coffee_type","1508_3_0","1508","3","0","Nutrition"
"hot_drink_temperature_f1518_0_0","hot_drink_temperature","1518_0_0","1518","0","0","Nutrition"
"hot_drink_temperature_f1518_1_0","hot_drink_temperature","1518_1_0","1518","1","0","Nutrition"
"hot_drink_temperature_f1518_2_0","hot_drink_temperature","1518_2_0","1518","2","0","Nutrition"
"hot_drink_temperature_f1518_3_0","hot_drink_temperature","1518_3_0","1518","3","0","Nutrition"
"water_intake_f1528_0_0","water_intake","1528_0_0","1528","0","0","Nutrition"
"water_intake_f1528_1_0","water_intake","1528_1_0","1528","1","0","Nutrition"
"water_intake_f1528_2_0","water_intake","1528_2_0","1528","2","0","Nutrition"
"water_intake_f1528_3_0","water_intake","1528_3_0","1528","3","0","Nutrition"
"major_dietary_changes_in_the_last_5_years_f1538_0_0","major_dietary_changes_in_the_last_5_years","1538_0_0","1538","0","0","Nutrition"
"major_dietary_changes_in_the_last_5_years_f1538_1_0","major_dietary_changes_in_the_last_5_years","1538_1_0","1538","1","0","Nutrition"
"major_dietary_changes_in_the_last_5_years_f1538_2_0","major_dietary_changes_in_the_last_5_years","1538_2_0","1538","2","0","Nutrition"
"major_dietary_changes_in_the_last_5_years_f1538_3_0","major_dietary_changes_in_the_last_5_years","1538_3_0","1538","3","0","Nutrition"
"variation_in_diet_f1548_0_0","variation_in_diet","1548_0_0","1548","0","0","Nutrition"
"variation_in_diet_f1548_1_0","variation_in_diet","1548_1_0","1548","1","0","Nutrition"
"variation_in_diet_f1548_2_0","variation_in_diet","1548_2_0","1548","2","0","Nutrition"
"variation_in_diet_f1548_3_0","variation_in_diet","1548_3_0","1548","3","0","Nutrition"
"alcohol_intake_frequency_f1558_0_0","alcohol_intake_frequency","1558_0_0","1558","0","0","Alcohol"
"alcohol_intake_frequency_f1558_1_0","alcohol_intake_frequency","1558_1_0","1558","1","0","Alcohol"
"alcohol_intake_frequency_f1558_2_0","alcohol_intake_frequency","1558_2_0","1558","2","0","Alcohol"
"alcohol_intake_frequency_f1558_3_0","alcohol_intake_frequency","1558_3_0","1558","3","0","Alcohol"
"average_weekly_red_wine_intake_f1568_0_0","average_weekly_red_wine_intake","1568_0_0","1568","0","0","Alcohol"
"average_weekly_red_wine_intake_f1568_1_0","average_weekly_red_wine_intake","1568_1_0","1568","1","0","Alcohol"
"average_weekly_red_wine_intake_f1568_2_0","average_weekly_red_wine_intake","1568_2_0","1568","2","0","Alcohol"
"average_weekly_red_wine_intake_f1568_3_0","average_weekly_red_wine_intake","1568_3_0","1568","3","0","Alcohol"
